1000,3,72.08	
2000,3,76.12	
3000,3,78.58	
4000,3,77.85	
5000,3,79.28	
6000,3,79.07	
7000,3,79.67	
8000,3,79.90	
9000,3,79.82	
10000,3,79.86	
1000,4,74.60	
2000,4,80.48	
3000,4,81.95	
4000,4,82.49	
5000,4,83.96	
6000,4,83.79	
7000,4,84.39	
8000,4,84.74	
9000,4,85.10	
10000,4,85.40	
1000,5,73.53	
2000,5,78.77	
3000,5,81.02	
4000,5,82.62	
5000,5,84.16	
6000,5,84.99	
7000,5,85.01	
8000,5,84.65	
9000,5,85.59	
10000,5,85.53	
1000,6,73.14	
2000,6,80.33	
3000,6,82.70	
4000,6,83.41	
5000,6,85.46	
6000,6,85.54	
7000,6,85.42	
8000,6,85.93	
9000,6,86.87	
10000,6,86.14	
1000,7,73.85	
2000,7,79.67	
3000,7,82.59	
4000,7,83.88	
5000,7,84.26	
6000,7,85.50	
7000,7,85.59	
8000,7,86.32	
9000,7,87.17	
10000,7,86.21	
1000,8,73.10	
2000,8,79.84	
3000,8,83.02	
4000,8,85.20	
5000,8,84.33	
6000,8,85.72	
7000,8,85.97	
8000,8,86.66	
9000,8,86.42	
10000,8,86.98	
1000,9,72.97	
2000,9,79.41	
3000,9,83.43	
4000,9,84.43	
5000,9,84.90	
6000,9,85.97	
7000,9,85.27	
8000,9,85.89	
9000,9,86.36	
10000,9,86.91	
1000,10,72.80	
2000,10,79.80	
3000,10,83.26	
4000,10,84.26	
5000,10,84.22	
6000,10,84.97	
7000,10,85.97	
8000,10,86.53	
9000,10,86.36	
10000,10,86.34	